,POWERGRID.NS,HAVELLS.NS,AXISBANK.NS,INFY.NS,SUNPHARMA.NS,TECHM.NS,NESTLEIND.NS,BHARTIARTL.NS,ONGC.NS,DRREDDY.NS,HDFCBANK.NS,KOTAKBANK.NS,DIVISLAB.NS,HEROMOTOCO.NS,HCLTECH.NS,TCS.NS,WIPRO.NS,BAJFINANCE.NS,ADANIENSOL.NS,TITAN.NS,RELIANCE.NS,AXISVALUE.NS,DMART.NS,LT.NS,ASIANPAINT.NS,ADANIPORTS.NS,COALINDIA.NS,INDIGO.NS,EICHERMOT.NS,TRENT.NS,TATAPOWER.NS,PIDILITIND.NS,JSWSTEEL.NS,MARUTI.NS,ITC.NS,ICICIBANK.NS,SBIN.NS,TATASTEEL.NS,ULTRACEMCO.NS,BAJAJFINSV.NS,HINDUNILVR.NS,NTPC.NS
POWERGRID.NS,1.0,0.29702097049856285,0.2079856152309167,0.13545227724567743,0.2362361022769981,0.08052570635999823,0.2743682671511555,0.18043394941795296,0.21823028922896354,0.058732287513509646,0.3060881166940424,0.2973547227519831,0.13984776268809437,0.2592542918486436,0.19769997468766776,0.2233709203307182,0.2020254705352858,0.20250435041262807,0.2784776690481767,0.10632334577954151,0.3602256957403081,0.2807068915389337,0.17150313300397066,0.25106129989745557,0.18235278325993676,0.3636461282659231,0.2755017472063485,0.3236743156284024,0.1857645223972746,0.2637416241091588,0.49400811081228757,0.21083086367259662,0.3126879246171115,0.20847315999705696,0.18279742347291678,0.26197021398477904,0.1169502698577405,0.29836531193297655,0.2345910968495284,0.3531129889656685,0.28904447899538616,0.5499913789214196
HAVELLS.NS,0.29702097049856285,1.0,0.40154635351364704,0.1444563468413788,0.3056749449452212,0.20545203191662384,0.3770508564296764,0.23466282409770303,0.12221784739094727,0.13861119546884823,0.39615539221151636,0.3251509864075994,0.2851074407056083,0.4734414201590511,0.1373168129984329,0.18057075262397498,0.1796318159190938,0.5219654789478587,0.15972649963370594,0.3847694871618203,0.21937789514169886,0.1901466836445769,0.3451286702887181,0.41009236051116094,0.3594652448462882,0.4318860803719271,0.18858487699246934,0.3997079753670883,0.3942914491983789,0.3713934752057475,0.4812068666899221,0.49087197756856893,0.4171557420032203,0.4783510192531767,0.1880911502234373,0.3816514496773786,0.33633110756427104,0.43108965301096763,0.46474267211392234,0.5534939662992048,0.26741106687717214,0.39700610395096736
AXISBANK.NS,0.2079856152309167,0.40154635351364704,1.0,0.22827387408775968,0.05122940039771142,0.18105148944634777,0.3393185400517725,0.2725202766293743,0.125731660868097,0.21822038458463247,0.581594889551878,0.48011975834869125,0.12243065722728391,0.38812799662254205,0.25499036770521677,0.2548485369099063,0.15951518115400168,0.5029015290348918,0.0833003086283833,0.35248087896235925,0.26120796610000846,0.1616318397317581,0.13099196341023198,0.5415521765671784,0.2869288039700956,0.5005071062176224,0.14145762795228423,0.42675170197434187,0.4601359386203616,0.3831690321527842,0.35089078320946104,0.43275746249479163,0.5092844818520631,0.4404526128385687,0.2792349028129881,0.48809938549999826,0.5228100416894661,0.45538726991394435,0.5436180156517374,0.5715706705729771,0.2873741929399163,0.3759458624037469
INFY.NS,0.13545227724567743,0.1444563468413788,0.22827387408775968,1.0,0.17225125644166542,0.755149124780356,0.16989185837899098,0.18934230679374559,0.06976841629188288,0.12152188869448402,0.24815575045753213,0.18981461578964656,0.14856378686495833,0.1599398737064547,0.7533004337276118,0.7984698789297089,0.6881531462535473,0.17468725834469143,0.1235497873474618,0.16941991907188075,0.252222747413876,0.1896041118351993,0.14880995997595228,0.25769379836036865,0.1134756995598717,0.19223643656892636,0.08588192771509218,0.2303223240856313,0.10470716404122044,0.06876742358814264,0.139253147122537,0.1422948008111576,0.25890916524101,0.15986959678870988,0.13405059567346145,0.17622333542037205,0.11099505359799641,0.161729334641692,0.13252683937100915,0.24288197125054203,0.1349097768625792,0.11921155509653014
SUNPHARMA.NS,0.2362361022769981,0.3056749449452212,0.05122940039771142,0.17225125644166542,1.0,0.19593197842085716,0.1035862598245561,0.2401429093049742,0.026730520524145623,0.335808480010266,0.13779065571661678,0.16294504798546305,0.3559796306460995,0.1975017647122564,0.1625153141936415,0.24945109050897823,0.20780508501480394,0.1193552969692787,0.06441486621238925,0.16134509017752824,0.21863404292428196,0.0786163205486011,0.18849020548200468,0.16761041160800777,0.17633043686905062,0.26649809780566475,0.12997924836145083,0.1537070370417104,0.06982652221287207,0.06294975281508403,0.24614009144253465,0.15719388715254637,0.22011497811835135,0.17714666768359794,0.08945872403862946,0.12933534261077662,0.06408458031577434,0.22658100608972845,0.16014704212977088,0.1800338722390435,0.12811374723357094,0.2232446601699153
TECHM.NS,0.08052570635999823,0.20545203191662384,0.18105148944634777,0.755149124780356,0.19593197842085716,1.0,0.2185057942513498,0.20124639130847596,0.1179634312603896,0.07399062810132058,0.20441253363610318,0.186990338561193,0.19560205884284598,0.2403337955736892,0.6714235001738174,0.731634522536945,0.5893739049293365,0.1261901209642329,0.1264677924470075,0.11054307059647575,0.24465078114406913,0.16262807166742688,0.21388038921343608,0.22828234019114899,0.13349792202134494,0.19325107587610912,0.15259627491071415,0.17327783973761374,0.09223178284154213,0.16223290077875277,0.1567009857514169,0.14814554490504503,0.22487013006243028,0.17227960397284553,0.12284693338277985,0.13084624451150173,0.11768734664949493,0.18002651850241613,0.15903735935895053,0.19917673630289984,0.11678325971066622,0.08795278907023815
NESTLEIND.NS,0.2743682671511555,0.3770508564296764,0.3393185400517725,0.16989185837899098,0.1035862598245561,0.2185057942513498,1.0,0.2483530333651736,0.11054206936599043,0.13971989261066484,0.3198295957354449,0.34373183241714,0.17734240972024715,0.2758759606473011,0.16908896352940697,0.2746938343048841,0.20114694100237968,0.36832959365833023,0.16162321844540284,0.27542801057912125,0.258433240273408,0.13307873674999543,0.2934811812781292,0.2825633311270377,0.35901497946371635,0.3780115964213078,0.1647314524233197,0.32504501977818795,0.2891214698897412,0.38493515484951984,0.32141866678450604,0.345543622837884,0.3469923172196239,0.31215322980357413,0.3547784644140364,0.27705747790085294,0.24490760004189968,0.27878485026341604,0.429404331161339,0.4147132689591589,0.5373160942466655,0.26724736677240435
BHARTIARTL.NS,0.18043394941795296,0.23466282409770303,0.2725202766293743,0.18934230679374559,0.2401429093049742,0.20124639130847596,0.2483530333651736,1.0,0.046648270955316574,0.247892678966441,0.3300372439696284,0.3258992221224473,0.1753371593947577,0.2288755302617664,0.24682141878463498,0.25231680008054125,0.16199853778828166,0.2365061533862063,0.10689408072804941,0.29231104355485893,0.3302890652894674,0.09770264889829144,0.21344585857054077,0.24947023707560173,0.28833763913258753,0.28376803754176794,0.11845190777391854,0.24206220307831644,0.2124608827392966,0.22353938729604064,0.2463197793389111,0.2461306809222785,0.26104653004318495,0.2507286004135338,0.24737489201501076,0.2780541014068779,0.23681696389438164,0.21939540594298956,0.2515136214720345,0.26239990789599044,0.08229709632138477,0.13793438084904824
ONGC.NS,0.21823028922896354,0.12221784739094727,0.125731660868097,0.06976841629188288,0.026730520524145623,0.1179634312603896,0.11054206936599043,0.046648270955316574,1.0,0.11987123877437281,0.008049635401073627,0.0846828163757182,0.11348945797333397,0.09425226407996479,0.118729739380247,0.1349665564514647,0.16280620937859672,0.0700507274263868,0.07563171821299505,0.01739924995177159,0.127384832910365,0.18658332358574928,0.1434046020502686,0.13592222855956337,-0.07865551445364947,0.0918278472201304,0.4076838405071392,-0.036641307243316004,0.006240967368152421,0.08676898299929087,0.3230471530237632,0.022804931918873984,0.20584260006765684,-0.005525639152552855,0.11269943163925686,0.06664705035536603,0.11341050362612591,0.3081899128340406,0.10292267126266051,0.13392469047756886,-0.011907893130938693,0.34515281654449365
DRREDDY.NS,0.058732287513509646,0.13861119546884823,0.21822038458463247,0.12152188869448402,0.335808480010266,0.07399062810132058,0.13971989261066484,0.247892678966441,0.11987123877437281,1.0,0.17840367816169408,0.15507819313977578,0.24948169221622196,0.15963948755846355,0.13274169454159848,0.1504067811304401,0.14826437938428522,0.1670240644012704,-0.03582544326467076,0.190710988226698,0.14037986532201904,0.03696131453775186,0.10852702983977862,0.22472139458844714,0.20176034285794725,0.2301830497698111,0.17642745581298852,0.1166033089923964,0.12895832382592431,0.08914409545019053,0.21350224018886785,0.26878111027191975,0.26688255394308963,0.18173484283783994,0.1301215055356631,0.1754368297838795,0.2796112867446519,0.2540703418113747,0.21808769797991479,0.19826080740255295,0.062180146686815575,0.13588302668451774
HDFCBANK.NS,0.3060881166940424,0.39615539221151636,0.581594889551878,0.24815575045753213,0.13779065571661678,0.20441253363610318,0.3198295957354449,0.3300372439696284,0.008049635401073627,0.17840367816169408,1.0,0.5399911449095517,0.13653800677030417,0.43599179865614,0.2948165844027818,0.279635690263656,0.25489853508716237,0.5584280421896513,0.15735986742031483,0.3783021370114775,0.4003968299742273,0.18516214691351243,0.22759561880115434,0.5604451821229293,0.42712299980799,0.5091801762274328,0.10159203108282887,0.5627631553185328,0.4592875232307641,0.45830216587285283,0.37963145798189335,0.4708137215485859,0.4854868725096871,0.45249358385979127,0.3285616709881526,0.6348563854538268,0.4901017267836422,0.38390652235517614,0.6015312638545348,0.6145289908867375,0.3301378016117993,0.3027855614310648
KOTAKBANK.NS,0.2973547227519831,0.3251509864075994,0.48011975834869125,0.18981461578964656,0.16294504798546305,0.186990338561193,0.34373183241714,0.3258992221224473,0.0846828163757182,0.15507819313977578,0.5399911449095517,1.0,0.11499468030902688,0.3674861568046723,0.2664017425362097,0.28229137037132823,0.1675325353097037,0.4791847074153996,0.0773062487157934,0.33384460704107055,0.306135357373752,0.14226421243469298,0.1644313712610868,0.46149801333423524,0.33903745677971414,0.38725188505180663,0.05979477548075352,0.48224317578447684,0.3800089578987706,0.3266137554127634,0.338533366835056,0.40712892607768636,0.41200279341141255,0.40701482102265335,0.34824346100610837,0.3521422444951931,0.3702847148561372,0.3627906615935556,0.45762633639716216,0.49338602806730575,0.3171433041368415,0.2272641124499114
DIVISLAB.NS,0.13984776268809437,0.2851074407056083,0.12243065722728391,0.14856378686495833,0.3559796306460995,0.19560205884284598,0.17734240972024715,0.1753371593947577,0.11348945797333397,0.24948169221622196,0.13653800677030417,0.11499468030902688,1.0,0.22100420901101392,0.1974789602044575,0.2247433780670177,0.28895127114500385,0.2218369329265331,0.040664950273678176,0.14537106901465646,0.16645010663949916,0.13688505747033522,0.19560710669366096,0.23176432412786244,0.14818683085524087,0.24306780742722187,0.04223149636508437,0.20332763542021376,0.22738523802595142,0.04820071167894299,0.2014423141982768,0.15130946364028075,0.232931260645979,0.19327028420865322,0.07079777770025955,0.1268445371865923,0.24978740206852107,0.20642070364518952,0.21330598502823042,0.22751414901445172,0.070469079378626,0.09715878324653793
HEROMOTOCO.NS,0.2592542918486436,0.4734414201590511,0.38812799662254205,0.1599398737064547,0.1975017647122564,0.2403337955736892,0.2758759606473011,0.2288755302617664,0.09425226407996479,0.15963948755846355,0.43599179865614,0.3674861568046723,0.22100420901101392,1.0,0.2047387828976986,0.2344449384271151,0.1883992835877682,0.4115921002064943,0.11165966986277628,0.34339056285024944,0.34309106089823266,0.16405678979367397,0.2048721820171844,0.4292987807467546,0.3978632067799386,0.3977882594746133,0.11132367251183312,0.4373224079883622,0.5275947371747303,0.2864121555490232,0.3060587505698757,0.49922136411649215,0.5372094840273489,0.5531935611251747,0.19383138139816747,0.3615641656462819,0.29112315696626984,0.40505388809131426,0.519921621172769,0.4600752120197637,0.2741837011528549,0.24611610801423567
HCLTECH.NS,0.19769997468766776,0.1373168129984329,0.25499036770521677,0.7533004337276118,0.1625153141936415,0.6714235001738174,0.16908896352940697,0.24682141878463498,0.118729739380247,0.13274169454159848,0.2948165844027818,0.2664017425362097,0.1974789602044575,0.2047387828976986,1.0,0.7130455964971049,0.5909166536045921,0.19121699587134186,0.15677084618057607,0.20132235565435924,0.24724300655649892,0.2111293346542144,0.1323010879641223,0.339822794960786,0.15839547787036357,0.20727190920878352,0.1169754814791173,0.2593887770597503,0.1187983521860907,0.13529190646369038,0.18406331865242723,0.16186834783391096,0.34241656002762866,0.19504029658698152,0.19285155879212085,0.2541942482244275,0.17193040549150737,0.24883524753582884,0.1952426242128197,0.24559842601811577,0.10084744212411018,0.1325110944560872
TCS.NS,0.2233709203307182,0.18057075262397498,0.2548485369099063,0.7984698789297089,0.24945109050897823,0.731634522536945,0.2746938343048841,0.25231680008054125,0.1349665564514647,0.1504067811304401,0.279635690263656,0.28229137037132823,0.2247433780670177,0.2344449384271151,0.7130455964971049,1.0,0.680102251351127,0.2215746209802558,0.193249682161784,0.2266653846968808,0.2653628960373505,0.21698872374396205,0.18854737336451116,0.29378109760466986,0.2068731216343449,0.2361489386426785,0.1763198022087798,0.2505583002799259,0.12151223478981277,0.1626912376820519,0.15868768537727582,0.21220006288750565,0.2975736336113551,0.22562392651983249,0.1868982712629484,0.17984619384046835,0.17082010479434012,0.22889149898067127,0.21946304917138085,0.3164323965496758,0.17868264651034324,0.11755444070276837
WIPRO.NS,0.2020254705352858,0.1796318159190938,0.15951518115400168,0.6881531462535473,0.20780508501480394,0.5893739049293365,0.20114694100237968,0.16199853778828166,0.16280620937859672,0.14826437938428522,0.25489853508716237,0.1675325353097037,0.28895127114500385,0.1883992835877682,0.5909166536045921,0.680102251351127,1.0,0.11567797438815397,0.22694944595298078,0.18923910790673873,0.2887822057068263,0.25329759683344855,0.18203889496009643,0.2890794466810856,0.11418756979304334,0.23846247490234992,0.13785587419302767,0.18583256307153642,0.11689490569949261,0.1309145050803566,0.27493106210791307,0.09791096089900199,0.2873052592449174,0.10875740184850254,0.06855432666393607,0.20599475017436583,0.13897257813070893,0.23151715782784507,0.19824924917899084,0.2302093982543925,0.044088773991421214,0.19970618769386422
BAJFINANCE.NS,0.20250435041262807,0.5219654789478587,0.5029015290348918,0.17468725834469143,0.1193552969692787,0.1261901209642329,0.36832959365833023,0.2365061533862063,0.0700507274263868,0.1670240644012704,0.5584280421896513,0.4791847074153996,0.2218369329265331,0.4115921002064943,0.19121699587134186,0.2215746209802558,0.11567797438815397,1.0,0.07581269689915274,0.3539507529897798,0.3184821702929152,0.17219568464288137,0.2105852259897637,0.45639314720536134,0.35271370604518837,0.47071694575174644,0.1395974316035354,0.4641353259568236,0.45706599094412326,0.3821665939130685,0.27718482353553414,0.40246281383848037,0.41661298249339146,0.4771556320482812,0.2734965161310341,0.43896039489606525,0.44294195936174985,0.3652823596026265,0.4795588845468637,0.834255549531776,0.22380039621500522,0.26688935627391036
ADANIENSOL.NS,0.2784776690481767,0.15972649963370594,0.0833003086283833,0.1235497873474618,0.06441486621238925,0.1264677924470075,0.16162321844540284,0.10689408072804941,0.07563171821299505,-0.03582544326467076,0.15735986742031483,0.0773062487157934,0.040664950273678176,0.11165966986277628,0.15677084618057607,0.193249682161784,0.22694944595298078,0.07581269689915274,1.0,-0.004960171088733644,0.12613876353317352,0.583092752190587,-0.01681602198057464,0.05971806850844704,-0.025885305539537162,0.16478384800719817,0.024267058510920966,0.13603625909535813,-0.007717500172968334,0.07141263779137416,0.20162239898530154,-0.030263880760425195,0.14220590949778777,0.08251192437930253,-0.012813461507020084,0.15405135115880053,-0.10535634352754962,0.06059316564042473,0.0817095834388605,0.08543984049605036,0.07464098839726768,0.11963462127332769
TITAN.NS,0.10632334577954151,0.3847694871618203,0.35248087896235925,0.16941991907188075,0.16134509017752824,0.11054307059647575,0.27542801057912125,0.29231104355485893,0.01739924995177159,0.190710988226698,0.3783021370114775,0.33384460704107055,0.14537106901465646,0.34339056285024944,0.20132235565435924,0.2266653846968808,0.18923910790673873,0.3539507529897798,-0.004960171088733644,1.0,0.2494741177748364,0.10164598437540864,0.36990970037164095,0.4564558471736668,0.30319995872560207,0.3817657298878852,0.10400001902330833,0.43034387687580355,0.35323455156724815,0.33221443912227977,0.2751772615069986,0.4645554324824568,0.3924359526877103,0.35821674643145474,0.2639924187378153,0.27882492760049804,0.29365467227226955,0.35518948039032605,0.40335093483859824,0.39876729720447585,0.2613544650598409,0.20471918919531307
